node,node_type,org_cat,corp_cat,corp_sub,rank,bipartite_degree,ppg_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,corp_bipartite_degree,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Union Pacific Railroad,org,Corporation,non-financial,railroad,NF-017,15,15,19,0.781706093444455,0.43159922928709055,0.018140893890232553,0.011450405945087921,0.011891415759128762,21.111365801188096,21.36842105263158,0.11719361701587211,0.04065535534776368,0.28654970760233917,49,5,35,8,15.0,1.2666666666666666,31.0,36.0,20.0,29.0,57.0,61.0,20.0,45.0,19,8.48,21.36842105263158,145,64.73,13.26896551724138,214,95.54,10.80373831775701
Union Trust Company of Pittsburgh,org,Corporation,financial,bank,F-036,15,15,13,1.0810511336525623,0.36245954692556637,0.017948995008560155,0.004763672401814834,0.006245996156310057,13.243121759308014,13.307692307692308,0.03810358627221636,0.04919935372968543,0.46153846153846156,36,6,22,8,15.0,0.8666666666666667,68.0,18.0,109.0,37.0,97.0,103.0,104.0,34.0,13,5.8,13.307692307692308,80,35.71,15.1875,191,85.27,11.774869109947645
United Fruit Company,org,Corporation,non-financial,industrial,NF-100,16,16,20,0.8301146856841687,0.3950617283950617,0.016950133607108918,0.010292859482667433,0.015554932735426009,14.884014899257762,15.35,0.0841684232843949,0.040967731695866136,0.2894736842105263,55,5,26,8,16.0,1.25,28.0,31.0,58.0,58.0,62.0,51.0,45.0,43.0,20,8.93,15.35,105,46.88,15.285714285714286,205,91.52,11.22439024390244
United Gas Improvement Company,org,Corporation,non-financial,utility,NF-019,14,14,12,0.8215609189147187,0.3848797250859107,0.01947665706051874,0.007659011822566934,0.05311432308349348,16.301121187476504,15.916666666666666,0.04751109307179209,0.059328532678795155,0.24242424242424243,16,5,16,7,14.0,0.8571428571428571,72.0,33.0,74.0,14.0,80.0,8.0,86.0,22.0,12,5.36,15.916666666666666,103,45.98,14.533980582524272,201,89.73,11.388059701492537
United Light & Power Company,org,Corporation,non-financial,utility,NF-043,18,18,10,0.4408375430093615,0.36012861736334406,0.01645604802619254,0.014412943492394996,0.01858450779414905,10.64835592141712,10.1,0.019822307343202283,0.009223827139782313,0.15555555555555556,7,6,13,6,18.0,0.5555555555555556,94.0,98.0,117.0,78.0,42.0,41.0,144.0,132.0,10,4.46,10.1,74,33.04,14.972972972972974,195,87.05,11.656410256410256
United Shoe Machinery Corporation,org,Corporation,non-financial,industrial,NF-157,20,20,9,0.5790391366882042,0.3373493975903614,0.016441309348967453,0.0005575625972602639,0.0,14.130263984304241,14.88888888888889,0.03593377138302424,0.017630239855992085,0.5555555555555556,20,5,21,8,20.0,0.45,105.0,73.0,153.0,80.0,168.0,178.0,112.0,99.0,9,4.02,14.88888888888889,55,24.55,16.6,174,77.68,12.35632183908046
United States Rubber Company,org,Corporation,non-financial,industrial,NF-116,5,5,3,0.12286324786324784,0.32558139534883723,0.013431877551760485,0.0,0.0,17.834782608695658,16.333333333333332,0.012921880901447122,0.0027595093528137806,1.0,3,5,4,3,5.0,0.6,180.0,183.0,167.0,158.0,193.0,178.0,165.0,177.0,3,1.34,16.333333333333332,40,17.86,17.725,170,75.89,12.823529411764707
"United States Smelting, Refining & Mining Company",org,Corporation,non-financial,industrial,NF-185,19,19,11,0.7772623802402547,0.36902800658978585,0.01707536154918251,0.0009823294783207492,0.0035634208840486866,15.036659163430707,18.363636363636363,0.05656379167470453,0.025435851740130144,0.6545454545454545,36,5,23,8,19.0,0.5789473684210527,84.0,37.0,99.0,52.0,153.0,124.0,73.0,69.0,11,4.91,18.363636363636363,85,37.95,15.741176470588234,195,87.05,11.671794871794871
United States Steel Corporation,org,Corporation,non-financial,industrial,NF-005,16,16,19,1.1376979043560083,0.4148148148148148,0.021493241097599144,0.00606497455420394,0.025451099722400172,25.22212617930158,22.526315789473685,0.13518210906610412,0.11138468274977786,0.4093567251461988,70,5,40,8,16.0,1.1875,31.0,15.0,35.0,4.0,90.0,28.0,12.0,11.0,19,8.48,22.526315789473685,128,57.14,14.3671875,210,93.75,10.966666666666667
Virginian Railway,org,Corporation,non-financial,railroad,NF-120,10,10,9,0.503068358656594,0.353870458135861,0.014537955283397202,0.0038438657417865377,0.008928571428571428,13.057381504835924,16.77777777777778,0.03761621537354632,0.009077708752247298,0.8055555555555556,29,5,21,8,10.0,0.9,105.0,86.0,126.0,130.0,115.0,76.0,108.0,133.0,9,4.02,16.77777777777778,70,31.25,15.614285714285714,186,83.04,11.96236559139785
Wabash Railway,org,Corporation,non-financial,railroad,NF-069,15,15,16,0.5622730581668919,0.3936731107205624,0.015527253933093125,0.006510183109527835,0.0040705744181080495,16.522752409324895,17.6875,0.07402040266954771,0.01837716024715187,0.4,48,5,27,8,15.0,1.0666666666666667,47.0,78.0,63.0,102.0,88.0,120.0,54.0,95.0,16,7.14,17.6875,110,49.11,14.409090909090908,202,90.18,11.287128712871286
Warner Brothers Pictures,org,Corporation,non-financial,industrial,NF-111,11,11,1,0.03571428571428571,0.3027027027027027,0.011116369530861236,0.0,0.0,22.0,22.0,0.005048531256284554,0.000833520471717334,0.0,0,6,1,1,11.0,0.09090909090909091,203.0,215.0,188.0,208.0,193.0,178.0,194.0,205.0,1,0.45,22.0,22,9.82,17.227272727272727,144,64.29,13.54861111111111
Wells Fargo Bank & Union Trust Company,org,Corporation,financial,bank,F-045,25,25,1,0.02631578947368421,0.20494053064958828,0.00666887686629136,0.0,0.0,3.0,3.0,7.485819474943668e-05,3.7499494960884195e-06,0.0,0,7,1,1,25.0,0.04,203.0,223.0,225.0,225.0,193.0,178.0,225.0,225.0,1,0.45,3.0,3,1.34,5.666666666666667,11,4.91,9.0
Western Pacific Railroad Corporation,org,Corporation,non-financial,railroad,NF-090,12,12,12,0.6699240208223264,0.37966101694915255,0.017152452264659713,0.011986682445648694,0.03538063207345718,10.16497364725574,12.583333333333334,0.038270753059430014,0.013410545094087796,0.15151515151515152,10,5,17,7,12.0,1.0,72.0,54.0,81.0,48.0,53.0,18.0,103.0,113.0,12,5.36,12.583333333333334,92,41.07,14.75,203,90.62,11.236453201970443
Western Union Telegraph Company,org,Corporation,non-financial,utility,NF-062,21,21,35,1.3381685311984286,0.469601677148847,0.019563306573108827,0.04258003024202713,0.03255124919923126,18.712876829110275,17.685714285714287,0.17399914350734108,0.05432700271207204,0.2,119,4,35,8,21.0,1.6666666666666667,4.0,7.0,3.0,12.0,7.0,19.0,6.0,26.0,35,15.62,17.685714285714287,164,73.21,12.695121951219512,220,98.21,10.486363636363636
Westinghouse Electric & Manufacturing Company,org,Corporation,non-financial,industrial,NF-091,16,16,17,0.6326823778121009,0.4014336917562724,0.0166797487593502,0.012992612058332341,0.0061258808456117865,14.610982666362274,14.647058823529411,0.06501488214490529,0.0254654480302499,0.19117647058823528,26,5,23,8,16.0,1.0625,39.0,59.0,48.0,70.0,46.0,106.0,62.0,68.0,17,7.59,14.647058823529411,118,52.68,14.23728813559322,205,91.52,11.195121951219512
Wheeling Steel Corporation,org,Corporation,non-financial,industrial,NF-146,19,19,1,0.07692307692307693,0.2448087431693989,0.012614061863338808,0.0,0.0,4.0,4.0,0.0008326368444613779,0.0005471764833233718,0.0,0,6,1,1,19.0,0.05263157894736842,203.0,196.0,220.0,180.0,193.0,178.0,219.0,210.0,1,0.45,4.0,4,1.79,13.75,39,17.41,17.256410256410255
Wilson & Company,org,Corporation,non-financial,industrial,NF-176,12,12,12,0.4879259456075801,0.39436619718309857,0.016270184679047773,0.012919254846392236,0.007840860559470423,14.94776435536322,15.416666666666666,0.039486344245747276,0.012643221384229056,0.24242424242424243,16,4,21,8,12.0,1.0,72.0,90.0,62.0,84.0,48.0,86.0,101.0,115.0,12,5.36,15.416666666666666,108,48.21,13.787037037037036,208,92.86,11.067307692307692
Wisconsin Bankshares Corporation,org,Corporation,financial,bank,F-042,29,29,5,0.20724336845588623,0.30982019363762103,0.011557449911574699,0.0013924654253705798,0.0011811338885329916,6.742604978280355,7.4,0.005063743531658373,0.0011583313541246793,0.1,1,5,8,5,29.0,0.1724137931034483,156.0,159.0,185.0,201.0,146.0,146.0,193.0,203.0,5,2.23,7.4,31,13.84,12.35483870967742,148,66.07,13.324324324324325
Youngstown Sheet & Tube Company,org,Corporation,non-financial,industrial,NF-089,11,11,1,0.04,0.2390608324439701,0.011307169079315465,0.0,0.0,6.0,6.0,0.00042690776344749427,0.00019613279207081842,0.0,0,7,1,1,11.0,0.09090909090909091,203.0,211.0,223.0,206.0,193.0,178.0,224.0,219.0,1,0.45,6.0,6,2.68,9.0,37,16.52,12.72972972972973
