node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
org,Corporation,non-financial,industrial,"14,684",157.0,,12,12.0,2,0.09,0.2404255319148936,0.01017330632455548,0.0011649860027441157,0.005113077679449361,5.111111111111111,5.5,0.006203995096899016,0.0032582843860270508,0.0,0,8,3,2,0.16666666666666666,177.0,190.0,187.0,200.0,176.0,134.0,178.0,197.0,2,0.88,5.5,11,4.87,6.909090909090909,52,23.01,8.5
org,Corporation,financial,insurance,"8,701",268.0,,12,12.0,1,0.03571428571428571,0.2361546499477534,0.009476685675947668,0.0,0.0,8.0,8.0,0.003275559546521259,0.0023397507458369033,0.0,0,7,1,1,0.08333333333333333,203.0,225.0,197.0,212.0,199.0,197.0,202.0,205.0,1,0.44,8.0,8,3.54,8.375,46,20.35,7.326086956521739
org,Corporation,non-financial,retail,"11,016",212.0,,12,12.0,3,0.14665286404416839,0.2516703786191537,0.012171805574256093,0.002094828703279163,0.0011406096361848575,5.698823529411764,6.0,0.006537434719767849,0.009357253465121215,0.3333333333333333,1,8,4,2,0.25,139.0,153.0,173.0,134.0,161.0,175.0,174.0,157.0,3,1.33,6.0,16,7.08,6.6875,70,30.97,7.557142857142857
org,Corporation,non-financial,industrial,"16,230",142.0,,9,9.0,2,0.10263157894736842,0.2582857142857143,0.011496299310730727,0.0008388547573456749,0.0016912487708947886,6.871794871794872,7.0,0.00882407302216812,0.007226006327000747,0.0,0,8,3,2,0.2222222222222222,177.0,178.0,162.0,160.0,183.0,168.0,163.0,172.0,2,0.88,7.0,14,6.19,8.642857142857142,76,33.63,8.157894736842104
org,Corporation,non-financial,consumer products,"10,383",228.0,,10,10.0,7,0.324969474969475,0.3100137174211248,0.013829819783985555,0.009193535529744216,0.017594231399541135,8.452470411422132,8.714285714285714,0.04834369047480372,0.02640067535559342,0.14285714285714285,3,6,17,5,0.7,63.0,61.0,72.0,69.0,99.0,57.0,68.0,99.0,7,3.1,8.714285714285714,46,20.35,8.347826086956522,140,61.95,7.171428571428572
org,Corporation,non-financial,retail,"10,187",232.0,,9,9.0,1,0.047619047619047616,0.22690763052208834,0.010121517929119517,0.0,0.0,7.0,7.0,0.004005406220411419,0.0041510715119066005,0.0,0,7,1,1,0.1111111111111111,203.0,211.0,206.0,203.0,199.0,197.0,193.0,194.0,1,0.44,7.0,7,3.1,6.714285714285714,34,15.04,9.382352941176471
org,Corporation,financial,bank,"150,450",5.0,,14,14.0,9,0.3453517044896355,0.3165266106442577,0.014106191744340876,0.015925066062193023,0.014782038675843987,7.764265710095907,7.666666666666667,0.058227053674304675,0.04369494282661508,0.16666666666666666,6,7,16,5,0.6428571428571429,35.0,53.0,60.0,50.0,66.0,71.0,55.0,62.0,9,3.98,7.666666666666667,50,22.12,8.02,155,68.58,6.593548387096774
org,Corporation,financial,bank,"8,345",274.0,,15,15.0,9,0.3703797576378221,0.29894179894179895,0.013213412198045274,0.027171561668115525,0.02704031465093412,5.018432712534937,5.111111111111111,0.02731790597746566,0.030559009742177564,0.027777777777777776,1,7,11,4,0.6,35.0,47.0,93.0,91.0,23.0,28.0,111.0,89.0,9,3.98,5.111111111111111,39,17.26,7.538461538461538,132,58.41,7.075757575757576
org,Corporation,non-financial,healthcare,"12,562",185.0,,13,13.0,2,0.07703703703703704,0.27001194743130225,0.011415678879310345,0.0007863059612940129,0.0004064241232382825,9.807692307692307,10.0,0.013691267171379425,0.010272621699386655,0.0,0,7,3,2,0.15384615384615385,177.0,196.0,143.0,164.0,184.0,191.0,146.0,150.0,2,0.88,10.0,19,8.41,8.0,90,39.82,8.122222222222222
org,Corporation,non-financial,holding,"112,493",11.0,,12,12.0,9,0.4809392057218144,0.2993377483443709,0.014284510365750883,0.03710733722108361,0.04760406424123238,5.320315588029257,5.222222222222222,0.029748422595166486,0.03841556220444164,0.05555555555555555,2,7,9,3,0.75,35.0,18.0,90.0,43.0,12.0,10.0,106.0,74.0,9,3.98,5.222222222222222,41,18.14,8.024390243902438,132,58.41,7.121212121212121
org,Corporation,non-financial,retail,"45,015",45.0,,12,12.0,1,0.043478260869565216,0.24171122994652405,0.010581928002309919,0.0,0.0,8.0,8.0,0.003908963428560052,0.0031293593782208678,0.0,0,8,1,1,0.08333333333333333,203.0,219.0,185.0,192.0,199.0,197.0,194.0,198.0,1,0.44,8.0,8,3.54,9.25,53,23.45,7.528301886792453
org,Corporation,non-financial,industrial,"68,281",28.0,,13,13.0,13,0.5481517165551378,0.35930047694753575,0.016056648233887104,0.02011659080286113,0.028498852835136017,11.239445429435186,12.153846153846153,0.19714986682097435,0.17951552718622188,0.24358974358974358,19,6,20,5,1.0,10.0,12.0,7.0,10.0,49.0,27.0,5.0,5.0,13,5.75,12.153846153846153,85,37.61,8.2,183,80.97,6.39344262295082
org,Policy-Planning Group,,,,,,49,,29,0.5141743365101841,0.39718804920913886,0.012310373941226138,0.11582041257481937,0.0002359882005899705,9.650345457358144,9.137931034482758,0.3339600653862906,0.10257676822436318,0.10591133004926108,43,6,21,6,0.5918367346938775,1.0,14.0,1.0,129.0,1.0,194.0,1.0,24.0,29,12.83,9.137931034482758,117,51.77,7.52991452991453,196,86.73,6.035714285714286
org,Corporation,non-financial,transportation,"14,016",167.0,acquired by Berkshire Hathaway in 2009,11,11.0,10,0.460691996790395,0.32706222865412443,0.015087285957475216,0.03186909856128108,0.038279252704031465,7.401996216574498,7.5,0.04667846730888959,0.05100133643282778,0.06666666666666667,3,7,16,5,0.9090909090909091,25.0,24.0,35.0,22.0,17.0,17.0,71.0,49.0,10,4.42,7.5,62,27.43,7.725806451612903,161,71.24,6.739130434782608
org,Policy-Planning Group,,,,,,14,,16,0.8445620432651917,0.36867862969004894,0.01751779554820622,0.05236987106432656,0.0765453949524746,11.179481241873143,10.4375,0.18679998172339857,0.3592740270957405,0.15833333333333333,19,6,18,5,1.1428571428571428,4.0,2.0,4.0,1.0,4.0,2.0,7.0,2.0,16,7.08,10.4375,91,40.27,8.10989010989011,192,84.96,6.182291666666667
org,Corporation,non-financial,media/communications,"13,015",177.0,,14,14.0,4,0.24519554519554518,0.27163461538461536,0.011831634789892504,0.0031977556207462053,0.006017699115044248,4.720080278863421,6.5,0.01653093495288183,0.01639219867844909,0.16666666666666666,1,8,7,3,0.2857142857142857,118.0,97.0,141.0,149.0,148.0,126.0,135.0,130.0,4,1.77,6.5,23,10.18,7.913043478260869,95,42.04,7.663157894736842
org,Corporation,non-financial,healthcare,"98,729",18.0,,13,13.0,3,0.16905832797886772,0.27527405602923266,0.01324878601647305,0.002363624131967558,0.004975417895771878,5.894003378378378,6.333333333333333,0.02031138233603082,0.022318381542681086,0.0,0,7,7,3,0.23076923076923078,139.0,141.0,136.0,89.0,156.0,135.0,129.0,114.0,3,1.33,6.333333333333333,19,8.41,10.052631578947368,102,45.13,7.980392156862745
org,Corporation,financial,bank,"15,980",144.0,,9,9.0,4,0.21112914862914864,0.25740318906605925,0.012402476836819627,0.023297965502226802,0.02855457227138643,4.022639897479709,4.0,0.005273784923051792,0.00892184630033189,0.16666666666666666,1,6,7,3,0.4444444444444444,118.0,116.0,166.0,126.0,31.0,26.0,183.0,160.0,4,1.77,4.0,14,6.19,5.857142857142857,60,26.55,7.766666666666667
org,Corporation,non-financial,healthcare,"99,613",17.0,,12,12.0,6,0.26160361377752683,0.2935064935064935,0.013717060340903338,0.0053743347061004304,0.005873484103572598,6.737211310166199,6.833333333333333,0.026835449363275653,0.035379886749915594,0.2,3,7,12,4,0.5,78.0,91.0,105.0,72.0,134.0,129.0,113.0,79.0,6,2.65,6.833333333333333,33,14.6,8.878787878787879,127,56.19,7.409448818897638
org,Policy-Planning Group,,,"2,535",,,24,,2,0.05064102564102564,0.2637106184364061,0.008942880319727758,0.0012162352595790605,3.9331366764995083e-05,8.430379746835444,8.5,0.015160241132618383,0.0029828709323464057,0.0,0,8,3,2,0.08333333333333333,177.0,205.0,154.0,221.0,174.0,195.0,141.0,202.0,2,0.88,8.5,17,7.52,9.764705882352942,89,39.38,7.955056179775281
org,Corporation,non-financial,industrial,"32,396",66.0,,15,15.0,15,0.6200895400895401,0.35478806907378335,0.015774778966961375,0.041926411224993576,0.039010160603080955,8.06986269001549,7.866666666666666,0.11422962047914975,0.10284836371498246,0.09523809523809523,10,6,18,5,1.0,5.0,8.0,11.0,13.0,8.0,15.0,17.0,23.0,15,6.64,7.866666666666666,78,34.51,8.14102564102564,179,79.2,6.441340782122905
org,Corporation,non-financial,energy,"163,527",3.0,,16,16.0,11,0.4711081814099055,0.32801161103047893,0.01437476148072764,0.019777434448311197,0.022032120616191416,8.93397872228791,9.0,0.08128573041435383,0.05620104881878533,0.16363636363636364,9,7,19,5,0.6875,19.0,21.0,34.0,37.0,51.0,37.0,34.0,40.0,11,4.87,9.0,62,27.43,7.854838709677419,161,71.24,6.6645962732919255
