node_type,org_cat,corp_cat,corp_sub,rank,banker,PPG_director,PPG_member,bipartite_degree,ppg_bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,person,,,,True,False,False,3,3,3.0,28,6.155158730158731,0.3950518754988029,0.09287490032365496,0.0006901670537098577,0.0036263931000773113,34.096060860034804,35.5,0.06664708229081295,0.05957444475101896,0.6798941798941799,257,4,69,22,9.333333333333334,90.0,118.0,139.0,37.0,344.0,256.0,67.0,96.0,28,5.66,35.5,226,45.66,27.238938053097346,473,95.56,20.661733615221987
person,person,,,,False,False,False,3,3,3.0,15,3.85,0.342797783933518,0.08142340168878166,0.00039575242500105304,0.0015944729035147376,23.471861471861473,24.2,0.012442259724308269,0.019535783403636858,0.6857142857142857,72,5,39,13,5.0,290.0,309.0,350.0,268.0,396.0,376.0,309.0,243.0,15,3.03,24.2,127,25.66,29.385826771653544,397,80.2,22.45088161209068
person,person,,,,True,False,False,2,2,2.0,16,4.425,0.35662824207492794,0.0812941369683035,0.002872153270396987,0.006216992580592861,15.71186440677966,18.1875,0.010888507726983522,0.009453021346675465,0.475,57,4,23,9,8.0,263.0,251.0,305.0,272.0,175.0,125.0,328.0,337.0,16,3.23,18.1875,132,26.67,27.416666666666668,444,89.7,21.54954954954955
person,person,,,,True,False,True,2,2,2.0,15,4.2,0.3685778108711839,0.08964955175224124,0.0009098037974853266,0.005177752721612372,20.76984126984127,23.066666666666666,0.01684309183326751,0.01408608730281522,0.5238095238095238,55,4,29,11,7.5,290.0,280.0,246.0,94.0,318.0,165.0,256.0,283.0,15,3.03,23.066666666666666,163,32.93,28.220858895705522,459,92.73,20.947712418300654
person,person,,,,False,False,False,2,2,2.0,27,5.92857142857143,0.4252577319587629,0.09436360170299295,0.0024696846787411837,0.009568332549868552,39.977108433734934,42.148148148148145,0.07983052911717205,0.0641451854595789,0.5811965811965812,204,4,62,18,13.5,101.0,138.0,52.0,15.0,186.0,55.0,55.0,79.0,27,5.45,42.148148148148145,300,60.61,25.123333333333335,489,98.79,20.2760736196319
person,person,,,,False,False,False,2,2,2.0,13,3.792857142857143,0.37358490566037733,0.09277191228837385,0.0007194694389850301,0.008532095963627279,24.612680477087256,26.76923076923077,0.015223979170396942,0.017608207116357296,0.6025641025641025,47,5,26,10,6.5,332.0,321.0,229.0,39.0,342.0,77.0,269.0,254.0,13,2.63,26.76923076923077,194,39.19,25.829896907216494,450,90.91,21.197777777777777
person,person,,,,True,False,False,3,3,3.0,26,5.523015873015873,0.4064039408866995,0.09009965567976702,0.0021009990470274333,0.0037643573909062838,29.77080040235666,30.846153846153847,0.04495654044651327,0.03496509106164913,0.41846153846153844,136,4,52,15,8.666666666666666,110.0,171.0,98.0,89.0,204.0,248.0,98.0,147.0,26,5.25,30.846153846153847,253,51.11,26.26482213438735,483,97.58,20.443064182194618
person,person,,,,False,False,False,2,2,2.0,9,2.7595238095238095,0.3216374269005848,0.07211363360446761,0.0008877315604808332,0.008024819707435338,13.987920621225195,15.444444444444445,0.005175216102319839,0.0026487748743806027,0.6666666666666666,24,5,12,7,4.5,407.0,410.0,430.0,442.0,322.0,90.0,393.0,439.0,9,1.82,15.444444444444445,76,15.35,25.539473684210527,358,72.32,22.88826815642458
person,person,,,,True,False,False,2,2,2.0,22,6.167857142857143,0.3988718775181305,0.08519500189322225,0.0022265237813657015,0.0047129706243618655,24.864118895966033,30.363636363636363,0.03375982936855839,0.02255496223995226,0.5627705627705628,130,4,47,14,11.0,162.0,114.0,124.0,188.0,199.0,187.0,135.0,219.0,22,4.44,30.363636363636363,235,47.47,26.574468085106382,482,97.37,20.46473029045643
person,person,,,,True,False,False,3,3,3.0,27,5.99404761904762,0.40607054963084493,0.08960195012459805,0.0031964930033493134,0.005741069762355491,27.271102284011913,27.666666666666668,0.034490155152559904,0.02585510183290615,0.4415954415954416,155,4,50,15,9.0,101.0,130.0,99.0,97.0,163.0,138.0,130.0,184.0,27,5.45,27.666666666666668,254,51.31,24.712598425196852,480,96.97,20.45
person,person,,,,False,False,False,2,2,2.0,8,1.8444444444444446,0.32608695652173914,0.07013649459216927,0.0001291230554150307,0.000488840417070082,19.490963855421683,22.25,0.004936861664166186,0.002295781988650301,0.6785714285714286,19,5,15,8,4.0,432.0,458.0,420.0,457.0,442.0,437.0,397.0,452.0,8,1.62,22.25,91,18.38,24.736263736263737,367,74.14,22.79019073569482
person,person,,,,True,False,False,2,2,2.0,13,3.6000000000000005,0.3337828725556305,0.07744055068836045,0.00042064033941225087,0.002860108261899453,17.7037037037037,19.153846153846153,0.005209849074961754,0.00400314655218534,0.7307692307692307,57,4,30,11,6.5,332.0,336.0,384.0,371.0,392.0,307.0,391.0,406.0,13,2.63,19.153846153846153,89,17.98,23.651685393258425,395,79.8,22.384810126582277
person,person,,,,True,False,False,2,2,2.0,17,4.8428571428571425,0.3727409638554217,0.09097453019466098,0.0034709230963422804,0.012743856846065809,18.67748279252704,21.235294117647058,0.012816602140940346,0.013543006998215134,0.47058823529411764,64,5,25,9,8.5,235.0,220.0,233.0,72.0,151.0,18.0,300.0,292.0,17,3.43,21.235294117647058,185,37.37,24.90810810810811,452,91.31,21.194690265486727
person,person,,,,True,False,False,2,2,2.0,16,5.95,0.3413793103448276,0.08172250120382472,0.00011727251280568545,0.0009860933606486303,22.330532212885156,25.6875,0.008905907370625334,0.024596079568113428,0.925,111,5,50,15,8.0,263.0,134.0,356.0,257.0,444.0,410.0,347.0,197.0,16,3.23,25.6875,107,21.62,23.626168224299064,411,83.03,22.017031630170315
person,person,,,,False,False,False,2,2,2.0,22,6.783333333333332,0.3538241601143674,0.09087571140077107,0.0005181184644643642,0.0035050752171350884,25.75429975429975,25.681818181818183,0.019227583896152884,0.0390597117415576,0.6060606060606061,140,5,47,14,11.0,162.0,92.0,316.0,73.0,371.0,260.0,236.0,133.0,22,4.44,25.681818181818183,145,29.29,28.66896551724138,415,83.84,21.927710843373493
person,person,,,,False,False,False,2,2,2.0,5,1.3666666666666665,0.3282493368700265,0.0727032385988103,0.00017091722209716952,0.0014941588625799148,18.09756097560976,20.2,0.005243976415128876,0.0036067406294685764,0.6,6,5,7,5,2.5,466.0,475.0,402.0,435.0,433.0,383.0,390.0,418.0,5,1.01,20.2,73,14.75,31.21917808219178,395,79.8,22.369620253164555
person,person,,,,True,False,True,3,3,3.0,14,2.969047619047619,0.36504424778761063,0.07969944988595198,0.002436538467107755,0.0014303045881993248,21.19246190858059,23.428571428571427,0.01722962960774331,0.012072074881071261,0.5604395604395604,51,4,27,10,4.666666666666667,309.0,396.0,259.0,316.0,189.0,387.0,254.0,306.0,14,2.83,23.428571428571427,152,30.71,27.467105263157894,458,92.53,21.034934497816593
person,person,,,,False,False,False,2,2,2.0,10,4.533333333333332,0.2985524728588661,0.07123754242471485,0.00033542703454030477,0.0,12.941176470588236,13.5,0.001649121137930682,0.0024563020646878055,0.8,36,5,16,8,5.0,392.0,243.0,478.0,453.0,405.0,469.0,465.0,445.0,10,2.02,13.5,45,9.09,20.333333333333332,280,56.57,23.557142857142857
person,person,,,,False,False,False,2,2,2.0,4,1.1666666666666665,0.29464285714285715,0.06711409395973154,0.0005072798098703584,0.001571449992502624,7.2857142857142865,8.0,0.001015579932756068,0.0009003327934336736,0.3333333333333333,2,5,3,3,2.0,480.0,482.0,480.0,478.0,373.0,377.0,482.0,484.0,4,0.81,8.0,28,5.66,23.535714285714285,281,56.77,24.469750889679716
person,person,,,,False,False,False,2,2,2.0,9,2.4000000000000004,0.33022014676450967,0.07807981492192018,0.0005580464387635824,0.0030558784944749854,15.562499999999995,16.555555555555557,0.003915603041801559,0.003322732690329045,0.6111111111111112,22,5,15,8,4.5,407.0,426.0,395.0,352.0,363.0,290.0,415.0,427.0,9,1.82,16.555555555555557,89,17.98,23.191011235955056,385,77.78,22.26753246753247
person,person,,,,False,False,False,2,2,2.0,14,3.392857142857143,0.3849144634525661,0.08694633917854737,0.001559182025048962,0.005581403946635207,23.235087719298246,26.428571428571427,0.01868644505450876,0.011929838104480587,0.4835164835164835,44,5,30,11,7.0,309.0,355.0,184.0,155.0,252.0,147.0,239.0,307.0,14,2.83,26.428571428571427,202,40.81,26.306930693069308,479,96.77,20.542797494780793
